player_id,first_name,last_name,birthdate,height,weight,bats,primary_position,other_positions,is_pitcher,role,ch,ph,sp,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,injured,injury_description,return_date
P4755,Manuel,Reyes,1995-06-22,70,203,R,P,,1,,,,,0,,,,,,67,18,12,37,32,59,0,0,73,0,0,,,,0,,,,10,64,22,17,63,32,28,63,0,0,71,0,0,False,,
P2994,Eric,Fields,2002-05-17,72,169,R,P,,1,,,,,0,,,,,,66,57,66,23,94,74,58,78,46,0,0,,,,0,,,,95,57,63,79,78,32,99,83,69,86,54,0,0,False,,
P9461,Glenn,Taylor,1993-11-22,69,247,S,P,,1,,,,,0,,,,,,36,57,53,64,40,65,0,17,50,0,0,,,,0,,,,98,47,55,49,37,62,39,63,0,16,49,0,0,False,,
P9751,Rodney,West,1991-07-12,68,223,R,P,,1,,,,,0,,,,,,29,25,57,67,68,0,73,0,18,0,0,,,,0,,,,72,95,20,56,24,58,61,0,64,0,14,0,0,False,,
P5104,Dwayne,Hudson,1990-12-31,77,236,R,P,,1,,,,,0,,,,,,80,14,93,57,50,0,36,12,0,0,0,,,,0,,,,23,15,12,86,72,54,45,0,28,11,0,0,0,False,,
P5710,Steve,Adams,1993-04-23,73,226,R,P,,1,,,,,0,,,,,,22,54,95,77,89,0,0,40,29,0,0,,,,0,,,,55,67,53,87,17,67,80,0,0,34,26,0,0,False,,
P8578,Herman,Collins,2002-05-23,74,169,S,P,,1,,,,,0,,,,,,43,55,23,44,93,56,38,69,64,0,0,,,,0,,,,29,99,61,32,54,52,99,64,44,81,74,0,0,False,,
P4100,Kurt,Sanchez,1997-08-12,69,243,R,P,,1,,,,,0,,,,,,69,63,34,35,76,30,0,68,0,0,0,,,,0,,,,47,93,67,31,72,30,76,34,0,69,0,0,0,False,,
P7136,Bob,Patterson,2002-05-01,74,165,L,P,,1,,,,,0,,,,,,75,95,60,21,57,0,0,0,59,0,0,,,,0,,,,35,66,99,71,85,29,65,0,0,0,73,0,0,False,,
P5885,Miguel,Anderson,1988-04-30,71,203,R,P,,1,,,,,0,,,,,,57,18,85,60,39,78,0,42,40,0,0,,,,0,,,,79,15,18,81,47,59,38,68,0,35,35,0,0,False,,
P6653,Ray,Richardson,1996-05-28,68,167,R,P,,1,,,,,0,,,,,,34,58,80,20,99,0,0,0,67,0,0,,,,0,,,,79,87,57,77,39,16,99,0,0,0,68,0,0,False,,
P1732,Jerome,Hayes,2000-08-17,70,173,R,C,,0,,21,71,71,42,20,14,72,56,61,,,,,,,,,,,,34,85,81,42,20,14,72,64,75,,,,,,,,,,,,False,,
P6132,Vernon,Knight,1997-07-12,76,222,L,1B,,0,,20,12,46,41,72,70,14,47,21,,,,,,,,,,,,19,13,48,41,72,70,14,51,23,,,,,,,,,,,,False,,
P8748,Cecil,Gonzalez,2004-08-16,68,178,R,2B,,0,,35,28,92,93,70,84,45,52,19,,,,,,,,,,,,61,41,99,93,70,84,45,68,47,,,,,,,,,,,,False,,
P9051,John,Hall,2002-10-16,73,193,S,3B,,0,,24,87,30,93,64,56,31,70,94,,,,,,,,,,,,29,93,35,93,64,56,31,83,99,,,,,,,,,,,,False,,
P1114,Don,Robinson,1993-11-28,77,181,R,SS,,0,,41,28,33,21,92,84,66,61,63,,,,,,,,,,,,36,24,29,21,92,84,66,56,60,,,,,,,,,,,,False,,
P8921,Karl,Thompson,1997-10-19,69,223,R,LF,,0,,48,37,84,99,52,51,74,78,97,,,,,,,,,,,,57,49,93,99,52,51,74,84,99,,,,,,,,,,,,False,,
P4656,Adrian,Chapman,1996-06-17,76,213,S,CF,LF,0,,27,40,82,46,47,12,12,19,32,,,,,,,,,,,,23,42,78,46,47,12,12,18,28,,,,,,,,,,,,False,,
P5423,Wallace,Hart,1994-06-28,73,184,R,RF,,0,,83,19,79,74,82,20,28,37,44,,,,,,,,,,,,88,19,83,74,82,20,28,32,41,,,,,,,,,,,,False,,
P2113,Bradley,Rodriguez,2002-10-28,76,220,R,LF,,0,,93,47,28,49,61,38,87,16,30,,,,,,,,,,,,99,53,35,49,61,38,87,29,39,,,,,,,,,,,,False,,
P9074,Ken,Porter,2001-09-25,78,176,R,SS,,0,,14,65,12,21,63,18,64,31,29,,,,,,,,,,,,24,78,27,21,63,18,64,38,37,,,,,,,,,,,,False,,
P3074,Ivan,Franklin,1992-02-21,76,242,R,RF,,0,,49,11,33,59,43,94,10,17,26,,,,,,,,,,,,43,10,30,59,43,94,10,13,26,,,,,,,,,,,,False,,
P4404,Dwight,Burns,1997-02-07,69,207,R,3B,LF,0,,63,76,34,26,77,51,52,89,11,,,,,,,,,,,,59,71,35,26,77,51,52,86,10,,,,,,,,,,,,False,,
P4721,Luis,Wood,2000-05-26,77,224,L,LF,,0,,53,41,84,10,82,35,87,48,95,,,,,,,,,,,,59,48,96,10,82,35,87,53,99,,,,,,,,,,,,False,,
P5209,Scott,Gutierrez,2003-05-21,68,249,R,C,,0,,53,26,60,23,48,67,63,50,24,,,,,,,,,,,,68,36,73,23,48,67,63,57,30,,,,,,,,,,,,False,,
P8528,Jeff,Chapman,2002-11-16,72,230,R,P,,1,,,,,0,,,,,,35,60,94,73,27,0,77,37,23,0,0,,,,0,,,,83,22,69,99,41,82,41,0,84,49,31,0,0,False,,
P8138,Keith,Morgan,1999-04-23,72,224,R,P,,1,,,,,0,,,,,,92,34,38,73,68,83,51,73,0,0,0,,,,0,,,,65,71,49,48,97,84,73,94,62,83,0,0,0,False,,
P5684,Ramon,Shaw,2000-03-23,77,218,S,P,,1,,,,,0,,,,,,43,66,87,60,16,36,20,13,58,0,0,,,,0,,,,82,64,75,97,50,66,21,41,26,18,68,0,0,False,,
P7028,Jessie,Richardson,2000-12-13,75,225,R,P,,1,,,,,0,,,,,,73,20,33,35,87,42,0,55,0,0,0,,,,0,,,,42,51,25,39,87,45,99,49,0,68,0,0,0,False,,
P6507,Andrew,Watkins,1992-04-01,71,199,L,P,,1,,,,,0,,,,,,48,85,74,92,67,0,59,0,27,0,0,,,,0,,,,73,26,82,73,47,88,60,0,51,0,23,0,0,False,,
P1747,Lester,Bryant,1997-09-20,68,202,R,P,,1,,,,,0,,,,,,65,10,35,41,12,40,44,0,88,0,35,,,,0,,,,99,60,22,49,80,51,25,55,57,0,93,0,40,False,,
P7569,Phillip,Lopez,1995-10-29,69,225,S,P,,1,,,,,0,,,,,,32,16,92,16,72,0,0,72,96,0,0,,,,0,,,,67,16,15,87,35,15,73,0,0,67,96,0,0,False,,
P8703,Maurice,Dunn,2003-09-01,74,193,L,2B,,0,,91,66,40,95,76,79,72,98,24,,,,,,,,,,,,99,80,63,95,76,79,72,99,45,,,,,,,,,,,,False,,
P2237,Jim,Long,1989-05-24,69,217,R,C,,0,,95,62,16,80,59,31,94,16,31,,,,,,,,,,,,94,55,12,80,59,31,94,10,31,,,,,,,,,,,,False,,
P1345,Warren,Riley,1991-07-23,78,166,R,CF,,0,,51,37,20,33,78,34,74,95,80,,,,,,,,,,,,41,31,11,33,78,34,74,91,80,,,,,,,,,,,,False,,
P5750,Pedro,Wagner,1986-09-09,78,188,R,RF,,0,,72,73,93,91,90,27,70,30,93,,,,,,,,,,,,70,67,87,91,90,27,70,26,91,,,,,,,,,,,,False,,
P7781,Jesse,Rivera,1990-02-01,69,230,R,2B,,0,,67,26,66,61,87,15,33,50,95,,,,,,,,,,,,66,22,61,61,87,15,33,50,94,,,,,,,,,,,,False,,
P9022,Lloyd,Alexander,1992-11-02,68,187,R,CF,,0,,19,84,74,11,38,72,72,72,90,,,,,,,,,,,,10,80,66,11,38,72,72,62,85,,,,,,,,,,,,False,,
P4115,Alan,Murray,1988-12-23,77,233,R,3B,,0,,55,70,48,39,49,85,25,89,13,,,,,,,,,,,,55,67,41,39,49,85,25,82,12,,,,,,,,,,,,False,,
P8452,Kevin,Carpenter,1991-09-02,72,165,R,LF,RF,0,,32,75,20,16,88,10,33,18,58,,,,,,,,,,,,30,65,15,16,88,10,33,16,50,,,,,,,,,,,,False,,
P2452,Francis,Cox,2007-04-02,77,218,R,P,,1,,,,,0,,,,,,61,22,88,66,48,92,64,43,69,0,0,,,,0,,,,61,84,51,99,74,86,71,99,83,67,97,0,0,False,,
P6494,Jose,Sullivan,2006-11-12,70,171,S,P,,1,,,,,0,,,,,,30,47,35,56,31,58,74,88,54,0,0,,,,0,,,,99,56,75,59,49,79,42,87,99,99,67,0,0,False,,
P5754,Vernon,Ward,2007-02-20,76,183,R,P,,1,,,,,0,,,,,,27,96,48,45,98,0,0,0,21,0,0,,,,0,,,,84,99,99,71,51,72,99,0,0,0,40,0,0,False,,
P3803,Joe,Ford,2003-10-25,68,165,R,P,,1,,,,,0,,,,,,29,80,87,47,85,82,43,0,0,0,0,,,,0,,,,63,29,99,99,53,76,99,97,53,0,0,0,0,False,,
P9735,Jessie,Wood,2004-01-02,71,230,R,P,,1,,,,,0,,,,,,87,35,21,26,43,0,38,26,28,0,0,,,,0,,,,91,89,63,38,98,45,73,0,65,50,38,0,0,False,,
P5933,Leroy,Wheeler,2006-08-13,74,211,S,CF,,0,,49,73,72,56,62,19,87,40,63,,,,,,,,,,,,65,97,87,56,62,19,87,52,91,,,,,,,,,,,,False,,
P8910,Brent,Cruz,2005-05-22,68,193,R,2B,,0,,77,63,51,66,40,70,36,82,96,,,,,,,,,,,,93,92,64,66,40,70,36,99,99,,,,,,,,,,,,False,,
P4319,John,Ramos,2004-03-16,71,221,R,2B,,0,,74,26,49,91,89,70,75,31,62,,,,,,,,,,,,87,42,73,91,89,70,75,47,79,,,,,,,,,,,,False,,
P1837,Edwin,Scott,2005-07-27,77,246,R,C,,0,,97,65,17,94,45,72,92,44,42,,,,,,,,,,,,99,81,38,94,45,72,92,66,52,,,,,,,,,,,,False,,
P8560,Paul,Barnes,2003-10-27,75,225,L,1B,,0,,92,87,94,87,32,58,95,34,81,,,,,,,,,,,,99,99,99,87,32,58,95,61,99,,,,,,,,,,,,False,,
P5229,Leroy,Hawkins,1991-03-20,77,170,R,P,,1,,,,,0,,,,,,95,85,39,58,41,21,38,39,0,0,0,,,,0,,,,49,17,75,29,87,54,31,13,29,38,0,0,0,False,,
P6137,Lee,Harris,1994-08-07,73,219,L,P,,1,,,,,0,,,,,,41,15,14,65,92,34,0,0,92,0,0,,,,0,,,,72,36,17,19,39,68,90,37,0,0,97,0,0,False,,
P9336,Roy,Moore,1997-11-20,73,237,R,P,,1,,,,,0,,,,,,30,28,44,31,29,45,22,0,63,0,0,,,,0,,,,37,51,34,59,41,43,38,57,33,0,71,0,0,False,,
P9858,Herman,Gomez,2002-08-12,73,247,R,P,,1,,,,,0,,,,,,78,64,52,12,55,0,0,40,0,0,0,,,,0,,,,26,63,78,64,88,17,61,0,0,51,0,0,0,False,,
P5123,Adrian,Duncan,2001-12-19,78,228,R,P,,1,,,,,0,,,,,,99,75,51,34,74,0,0,0,12,0,0,,,,0,,,,29,99,90,66,99,47,83,0,0,0,18,0,0,False,,
P3837,Kurt,Baker,1987-01-26,74,198,L,P,,1,,,,,0,,,,,,24,29,89,75,73,0,0,0,50,0,0,,,,0,,,,61,83,21,85,21,65,65,0,0,0,42,0,0,False,,
P1528,Howard,James,1999-04-15,71,215,R,P,,1,,,,,0,,,,,,27,11,47,74,50,81,0,0,0,0,0,,,,0,,,,99,85,26,57,34,88,58,87,0,0,0,0,0,False,,
P1708,Edward,Cox,1986-11-18,71,214,L,P,,1,,,,,0,,,,,,64,75,64,53,48,0,18,0,0,0,0,,,,0,,,,45,89,68,64,62,51,48,0,17,0,0,0,0,False,,
P5610,Ted,Gonzalez,1993-06-01,70,227,R,P,,1,,,,,0,,,,,,71,83,25,87,96,0,0,64,16,0,0,,,,0,,,,38,19,73,19,64,83,92,0,0,60,15,0,0,False,,
P7551,Allan,Warren,2001-10-21,76,248,L,P,,1,,,,,0,,,,,,23,38,62,32,12,0,27,0,42,0,0,,,,0,,,,92,36,46,75,36,44,18,0,37,0,51,0,0,False,,
P2248,Brandon,Howard,1993-04-14,76,236,S,P,,1,,,,,0,,,,,,64,74,32,93,34,21,46,55,0,0,0,,,,0,,,,43,30,71,32,64,89,26,15,39,45,0,0,0,False,,
P9266,Tyrone,Hughes,1994-01-08,71,246,S,C,,0,,48,18,61,82,19,26,87,34,34,,,,,,,,,,,,51,15,58,82,19,26,87,34,37,,,,,,,,,,,,False,,
P5218,Kelly,Rogers,2002-10-03,78,202,S,1B,,0,,23,20,78,46,76,37,19,70,17,,,,,,,,,,,,30,29,87,46,76,37,19,76,30,,,,,,,,,,,,False,,
P3063,Derek,Allen,1986-11-21,68,249,R,2B,,0,,19,68,65,51,64,87,16,78,27,,,,,,,,,,,,10,66,55,51,64,87,16,73,17,,,,,,,,,,,,False,,
P4294,Corey,Ray,2001-10-02,73,164,R,3B,,0,,21,18,22,88,63,12,85,29,99,,,,,,,,,,,,30,28,27,88,63,12,85,44,99,,,,,,,,,,,,False,,
P3626,Jose,Powell,1996-02-22,77,191,L,SS,,0,,54,43,26,31,33,83,65,46,37,,,,,,,,,,,,49,40,31,31,33,83,65,46,40,,,,,,,,,,,,False,,
P9686,Douglas,White,1987-09-11,74,248,R,LF,,0,,83,29,50,37,94,86,37,91,63,,,,,,,,,,,,77,25,49,37,94,86,37,87,54,,,,,,,,,,,,False,,
P2648,Matthew,Diaz,1996-07-16,74,191,L,CF,,0,,20,37,93,81,15,21,74,85,51,,,,,,,,,,,,24,42,98,81,15,21,74,87,51,,,,,,,,,,,,False,,
P9766,Martin,Ellis,1998-02-24,73,177,R,RF,,0,,73,66,98,99,54,31,81,79,21,,,,,,,,,,,,85,81,99,99,54,31,81,85,35,,,,,,,,,,,,False,,
P1933,Arnold,Crawford,1999-09-26,76,168,L,CF,,0,,39,98,86,38,90,48,42,41,30,,,,,,,,,,,,48,99,91,38,90,48,42,49,41,,,,,,,,,,,,False,,
P1990,Harold,Martin,1988-06-15,75,245,S,2B,,0,,99,59,51,20,54,90,24,53,38,,,,,,,,,,,,93,52,44,20,54,90,24,52,34,,,,,,,,,,,,False,,
