arm,bats,birthdate,cb,ch,control,cu,delivery,endurance,fa,fb,first_name,gf,height,hold_runner,injured,injury_description,is_pitcher,kn,last_name,movement,other_positions,ph,pl,player_id,pot_arm,pot_cb,pot_ch,pot_control,pot_cu,pot_endurance,pot_fa,pot_fb,pot_gf,pot_hold_runner,pot_kn,pot_movement,pot_ph,pot_sc,pot_si,pot_sl,pot_sp,primary_position,return_date,role,sc,si,sl,sp,throws,vl,weight
27,L,2007-11-01,73,0,81,0,overhand,19,88,84,John,0,75,14,0,0,True,0,Doe,44,[],0,0,P1943,50,83,0,99,0,40,99,94,0,34,0,61,0,0,0,0,0,P,0,RP,0,0,0,0,L,0,166
19,R,2005-09-23,0,17,0,0,0,0,64,0,John,67,72,0,0,0,False,0,Doe,0,[],47,97,P5635,34,0,36,0,0,0,90,0,67,0,0,0,77,98,0,0,51,3B,0,0,98,0,0,22,R,36,189
40,S,2005-05-03,45,0,10,98,overhand,51,87,82,John,0,72,88,0,0,True,0,Doe,34,[],0,0,P6224,51,73,0,38,99,78,99,94,0,99,0,58,0,0,83,96,0,P,0,SP,0,64,74,0,R,0,188
69,R,2005-09-12,0,26,0,0,0,0,16,0,John,80,78,0,0,0,False,0,Doe,0,[],65,57,P2953,79,0,42,0,0,0,43,0,80,0,0,0,76,19,0,0,97,CF,0,0,19,0,0,78,R,29,207
34,R,2004-10-23,0,0,62,0,overhand,75,73,98,John,0,73,44,0,0,True,69,Doe,63,[],0,0,P9697,49,0,0,83,0,99,93,99,0,67,85,81,0,0,0,0,0,P,0,RP,0,0,0,0,R,0,160
99,L,2007-04-03,0,76,0,0,0,0,17,0,John,71,74,0,0,0,False,0,Doe,0,[],58,70,P3711,99,0,90,0,0,0,35,0,71,0,0,0,82,99,0,0,82,CF,0,0,99,0,0,62,R,15,214
27,S,2004-02-05,0,24,0,0,0,0,86,0,John,65,78,0,0,0,False,0,Doe,0,[],89,63,P2151,45,0,38,0,0,0,99,0,65,0,0,0,99,85,0,0,99,2B,0,0,85,0,0,97,R,38,169
70,R,2004-06-11,0,54,0,0,0,0,17,0,John,66,74,0,0,0,False,0,Doe,0,['1B'],64,20,P8507,88,0,72,0,0,0,39,0,66,0,0,0,83,56,0,0,55,LF,0,0,56,0,0,27,R,67,231
27,R,2005-11-24,83,0,41,0,overhand,83,80,32,John,0,70,53,0,0,True,0,Doe,25,[],0,0,P1375,46,99,0,71,0,99,99,61,0,67,0,38,0,0,99,0,0,P,0,RP,0,70,0,0,R,0,218
74,R,2008-08-10,62,0,54,31,overhand,47,53,78,John,0,72,17,0,0,True,0,Doe,66,[],0,0,P4266,99,83,0,79,56,61,74,99,0,44,0,82,0,0,60,56,0,P,0,RP,0,47,34,0,R,0,247
